a52dec 0.8.0-2
perl-list-utilsby 0.12-4
perl-log-log4perl 1.57-4
perl-lwp-mediatypes 6.04-6
perl-lwp-protocol-https 6.14-2
perl-mailtools 2.22-1
perl-math-round 0.08-1
perl-mime-charset 1.013.1-4
perl-module-implementation 0.09-11
perl-module-runtime 0.018-1
perl-mozilla-ca 20250602-1
perl-mro-compat 0.15-4
perl-namespace-autoclean 0.31-1
perl-namespace-clean 0.27-11
perl-net-http 6.23-4
perl-net-ssleay 1.94-2
perl-number-compare 0.03-15
perl-package-deprecationmanager 0.18-4
perl-package-stash 0.40-5
perl-package-stash-xs 0.30-4
perl-params-util 1.102-6
perl-params-validate 1.31-4
perl-params-validationcompiler 0.31-4
perl-parse-recdescent 1.967015-4
perl-path-tiny 0.148-1
perl-perlio-utf8-strict 0.010-4
perl-regexp-common 2024080801-2
perl-role-tiny 2.002004-6
perl-sort-key 1.33-14
perl-specio 0.50-1
perl-sub-exporter 0.991-2
perl-sub-exporter-progressive 0.001013-11
perl-sub-install 0.929-2
perl-test-fatal 0.017-4
perl-text-bibtex 0.91-1
perl-text-csv 2.06-1
perl-text-glob 0.11-12
perl-text-roman 3.5-12
perl-tie-cycle 1.228-2
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-unicode-linebreak 2019.001-8
perl-uri 5.31-1
perl-variable-magic 0.64-2
perl-www-robotrules 6.02-14
perl-xml-libxml 2.0210-3
perl-xml-libxml-simple 1.01-4
perl-xml-libxslt 2.003000-2
perl-xml-namespacesupport 1.12-6
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
perl-xml-writer 0.900-4
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-2
pinentry 1.3.1-5
pipewire 1:1.4.5-1
pixman 0.46.2-1
pkgconf 2.4.3-1
plasma-activities 6.3.5-1
playerctl 2.4.1-4
polkit 126-2
polkit-kde-agent 6.3.5-1
polkit-qt6 0.200.0-1
poppler 25.06.0-1
poppler-data 0.4.12-2
poppler-glib 25.06.0-1
poppler-qt6 25.06.0-1
popt 1.19-2
portaudio 1:19.7.0-3
potrace 1.16-3
procps-ng 4.0.5-3
psmisc 23.7-1
pugixml 1.15-2
pulseaudio 17.0+r43+g3e2bb8a1e-1
purpose 6.14.0-1
pythia8 8.3.14-1
python 3.13.3-1
python-appdirs 1.4.4-11
python-attrs 25.3.0-1
python-beautifulsoup4 4.13.3-1
python-cachecontrol 1:0.14.3-1
python-cairo 1.28.0-1
python-certifi 2025.04.26-1
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-charset-normalizer 3.4.2-1
python-coverage 7.8.2-1
python-cryptography 45.0.4-1
python-cssselect 1.2.0-8
python-docopt 0.6.2-14
python-docutils 1:0.21.2-3
python-filelock 3.18.0-1
python-gobject 3.52.3-3
python-idna 3.10-2
python-jinja 1:3.1.6-1
python-legacy-cgi 2.6.3-2
python-lockfile 0.12.2-14
python-lxml 5.4.0-1
python-markupsafe 3.0.2-1
python-msgpack 1.0.5-3
python-numpy 2.3.0-2
python-packaging 25.0-1
python-pillow 11.2.1-1
python-pip 25.1.1-1
python-pycparser 2.22-3
python-pyqt6 6.9.1-1
python-pyqt6-sip 13.10.2-1
python-pyqt6-webengine 6.9.0-1
python-pyserial 3.5-7
python-requests 2.32.4-1
python-six 1.17.0-1
python-soupsieve 2.6-2
python-tinycss2 1.4.0-2
python-typing_extensions 4.13.2-1
python-urllib3 2.4.0-1
python-webencodings 0.5.1-12
python-wheel 0.45.1-1
python-yaml 6.0.2-2
python-zstandard 0.23.0-2
qca-qt6 2.3.10-2
qt5-base 5.15.17+kde+r123-1
qt5-declarative 5.15.17+kde+r21-1
qt5-svg 5.15.17+kde+r5-1
qt5-translations 5.15.17-1
qt5-wayland 5.15.17+kde+r57-1
qt5-x11extras 5.15.17-1
qt6-5compat 6.9.1-1
qt6-base 6.9.1-1
qt6-declarative 6.9.1-1
qt6-multimedia 6.9.1-1
qt6-multimedia-ffmpeg 6.9.1-1
qt6-positioning 6.9.1-1
qt6-shadertools 6.9.1-1
qt6-speech 6.9.1-1
qt6-svg 6.9.1-1
qt6-translations 6.9.1-1
qt6-wayland 6.9.1-1
qt6-webchannel 6.9.1-1
qt6-webengine 6.9.1-1
qutebrowser 3.5.1-1
ragel 6.10-4
ranger 1.9.4-4
ranger_devicons-git r108.1bcaff0-1
rav1e 0.7.1-1
rclone 1.69.3-1
re2 1:20240702-5
readline 8.2.013-2
rhash 1.4.4-1
ripgrep 14.1.1-1
ripgrep-all 0.10.9-1
rtkit 0.13-3
rubberband 4.0.0-1
scour 0.38.2-5
sdbus-cpp 2.1.0-2
sdl2-compat 2.32.56-1
sdl3 3.2.16-1
seatd 0.9.1-1
sed 4.9-3
semver 7.7.2-1
shaderc 2025.2-2
shadow 4.17.4-1
shared-mime-info 2.4-2
signon-kwallet-extension 25.04.2-1
signon-plugin-oauth2 0.25-3
